class_index,Recipe Name,Ingredients,Instructions
1,apple_pie,"flour,unsalted butter,salt,sugar,apple,egg wash,lemon juice,water","Make the Apple Filling:Peel, core, and slice 4-5 medium apples into thin wedges. In a large skillet over medium heat, melt 2 tablespoons of butter. Add the apple slices, 1/4 cup of granulated sugar, 1 teaspoon of cinnamon, and a pinch of nutmeg. Cook, stirring occasionally, until the apples are tender and caramelized, about 10-15 minutes. Remove from heat and let cool slightly.

Prepare the Pie Crust:Preheat your oven to 375°F (190°C). Roll out one sheet of pie crust on a floured surface to fit a 9-inch pie dish. Carefully transfer the rolled-out crust to the pie dish, pressing it gently into the corners. Trim any excess dough hanging over the edges.

Assemble the Pie:Spoon the cooled apple filling evenly into the prepared crust. Roll out the second sheet of pie crust and place it over the filling. Trim the edges, then crimp or seal them together. Cut a few small slits in the top crust to allow steam to escape. Optionally, brush the top crust with an egg wash (1 egg beaten with 1 tablespoon of water) and sprinkle with sugar for a golden finish.

Bake the Pie:Place the pie on the middle rack of the preheated oven and bake for 45-50 minutes, or until the crust is golden brown and the filling is bubbling. If the edges of the crust brown too quickly, cover them with aluminum foil partway through baking.

Serve:Let the pie cool on a wire rack for at least 2 hours to set. Serve warm or at room temperature with vanilla ice cream, whipped cream, or a drizzle of caramel sauce."
2,baby_back_ribs,"baby back ribs,salt,black pepper,paprika,garlic powder,onion powder,canyenne pepper,brown sugar,barbecue sauce,honey,apple cider vinegar","Prepare the Ribs:Preheat your oven to 275°F (135°C). Remove the membrane from the back of 2 racks of baby back ribs. Pat the ribs dry with paper towels, then generously season both sides with a dry rub made of 1/4 cup brown sugar, 1 tablespoon paprika, 1 teaspoon garlic powder, 1 teaspoon onion powder, 1 teaspoon salt, 1 teaspoon black pepper, and 1/2 teaspoon cayenne pepper. Wrap each rack tightly in aluminum foil.

Cook the Ribs:Place the wrapped ribs on a baking sheet and bake in the preheated oven for 2.5 to 3 hours, or until the ribs are tender and the meat easily pulls away from the bone.

Prepare the Barbecue Sauce:In a saucepan over medium heat, combine 1 cup of your favorite barbecue sauce, 1/4 cup honey, 2 tablespoons apple cider vinegar, and 1 teaspoon Worcestershire sauce. Simmer for 5 minutes, stirring occasionally, then remove from heat.

Grill the Ribs:Preheat your grill to medium-high heat. Remove the ribs from the foil and place them on the grill. Brush both sides generously with the barbecue sauce. Grill for 5-10 minutes, turning occasionally, until the sauce is caramelized and slightly charred.

Serve:Transfer the ribs to a cutting board and let them rest for 5 minutes. Slice between the bones into individual ribs and serve with extra barbecue sauce on the side. "
3,baklava,"phyllo dough,unsalted butter,walnuts or pistachios,ground cinnamon,sugar,honey,water,lemon juice,vanilla extract","Prepare the Nut Filling: Finely chop 3 cups of mixed nuts (such as walnuts, pistachios, and almonds) or pulse them in a food processor until coarsely ground. In a bowl, combine the nuts with 1/4 cup granulated sugar, 1 teaspoon ground cinnamon, and a pinch of ground cloves.  

Prepare the Phyllo Dough: Preheat your oven to 350°F (175°C). Grease a 9x13-inch baking dish with melted butter. Unroll a package of phyllo dough, covering it with a damp towel to prevent drying out.  

Assemble the Baklava: Place one sheet of phyllo dough in the prepared baking dish and brush it lightly with melted butter. Repeat, layering and buttering 7-8 sheets. Sprinkle a thin, even layer of the nut mixture over the dough. Add another 7-8 layers of phyllo, brushing each with butter. Repeat this process until the nuts and phyllo are used, finishing with 7-8 layers of phyllo on top. Trim any excess dough, and brush the top layer generously with butter.  

Cut and Bake: Using a sharp knife, cut the assembled baklava into diamond or square shapes. Bake in the preheated oven for 45-50 minutes, or until the baklava is golden brown and crisp.  

Prepare the Syrup: While the baklava bakes, combine 1 cup water, 1 cup granulated sugar, 1/2 cup honey, and 1 teaspoon lemon juice in a saucepan. Bring to a boil over medium heat, then reduce to a simmer and cook for 10 minutes. Remove from heat and let cool slightly.  

Finish and Serve: Remove the baked baklava from the oven and immediately pour the warm syrup evenly over it, ensuring it seeps into all the cuts. Let the baklava cool completely to absorb the syrup. Serve at room temperature and enjoy!  "
4,beef_carpaccio,"beef tenderloin,olive oil,lemon juice,arugula,parmesan cheese,capers,salt,black pepper,truffle oil","Prepare the Beef: Place a 1-pound piece of beef tenderloin in the freezer for about 30 minutes, or until firm but not frozen solid. Using a sharp knife, slice the beef as thinly as possible. Lay the slices between sheets of plastic wrap and gently pound them with a meat mallet until paper-thin.  

Prepare the Dressing: In a small bowl, whisk together 3 tablespoons olive oil, 1 tablespoon lemon juice, 1 teaspoon Dijon mustard, a pinch of salt, and freshly ground black pepper until well combined.  

Assemble the Carpaccio: Arrange the thin beef slices on a large serving plate, slightly overlapping. Drizzle the prepared dressing evenly over the beef.  

Add the Toppings: Sprinkle the carpaccio with shaved Parmesan cheese, capers, and arugula leaves. Optionally, add a drizzle of balsamic glaze for extra flavor.  

Serve: Serve immediately with crusty bread or crostini on the side. Enjoy this elegant and flavorful appetizer!  "
5,beef_tartare,"beef tenderloin,egg yolk,shallot,capers,dijon mustrad,worcestershire sauce,tabasco sauce,parsley,olive oil,salt,black pepper","Prepare the Beef: Choose 8 ounces of fresh, high-quality beef tenderloin or sirloin. Trim any fat or sinew, then finely chop the beef by hand into small, even pieces. Keep the chopped beef chilled until ready to use.  

Prepare the Seasoning: In a bowl, combine 1 tablespoon Dijon mustard, 1 tablespoon Worcestershire sauce, 1 teaspoon capers (chopped), 1 teaspoon finely chopped shallots, and 1 teaspoon minced fresh parsley. Add salt and freshly ground black pepper to taste.  

Mix the Tartare: Add the finely chopped beef to the seasoning mixture and gently mix until well combined. Taste and adjust the seasoning if necessary.  

Plate the Tartare: Use a ring mold or shape the tartare by hand into a neat round on a serving plate.  

Garnish: Top with a fresh egg yolk in the center (optional) and garnish with additional capers, chopped parsley, or a drizzle of olive oil.  

Serve: Serve immediately with toasted baguette slices or crackers on the side. Enjoy this classic dish!  "
6,beet_salad,"beets,arugula,goat cheese,walnuts,red onion,olive oil,balsamic vinegar,honey,salt,black pepper","Prepare the Beets: Preheat your oven to 400°F (200°C). Wash and scrub 4 medium-sized beets, then wrap them individually in aluminum foil. Place them on a baking sheet and roast in the oven for 45-60 minutes, or until tender when pierced with a fork. Let the beets cool, then peel off the skin and slice into thin rounds or wedges.  

Prepare the Dressing: In a small bowl, whisk together 2 tablespoons olive oil, 1 tablespoon balsamic vinegar, 1 teaspoon Dijon mustard, 1 teaspoon honey, salt, and freshly ground black pepper to taste.  

Assemble the Salad: On a large plate or serving platter, arrange the sliced beets. Top with 1/4 cup crumbled goat cheese or feta, a handful of arugula or mixed greens, and a sprinkle of toasted walnuts or pecans.  

Dress the Salad: Drizzle the prepared dressing over the salad just before serving.  

Serve: Serve the salad immediately as a refreshing appetizer or side dish. Enjoy!  "
7,beignets,"flour,yeast,sugar,salt,water,egg,milk,butter,vegetable oil,powdered sugar","Prepare the Dough: In a large bowl, whisk together 2 cups all-purpose flour, 1/4 cup granulated sugar, 1 tablespoon baking powder, and a pinch of salt. In a separate bowl, whisk 2 large eggs, 3/4 cup milk, and 1 teaspoon vanilla extract until smooth. Pour the wet ingredients into the dry ingredients and mix until just combined. The dough will be thick and slightly sticky.

Heat the Oil: Heat 3-4 cups of vegetable oil in a deep fryer or large pot to 375°F (190°C). The oil should be deep enough to submerge the beignets.

Fry the Beignets: Drop spoonfuls of dough into the hot oil, about 2-3 at a time, being careful not to overcrowd the pot. Fry for 2-3 minutes on each side or until golden brown and puffed up. Remove the beignets from the oil and drain on paper towels.

Coat the Beignets: While the beignets are still warm, dust them generously with powdered sugar.

Serve: Serve the beignets immediately for the best taste and texture. Enjoy these light, fluffy treats with a cup of coffee or hot chocolate!"
8,bibimbap,"rice,beef,carrot,cucumber,spinach,shiitake mushrooms,egg,gochujang,sesame oil,sesame seeds,soy sauce,garlic,vegetable oil","Prepare the Rice: Cook 2 cups of short-grain white rice according to the package instructions. Once cooked, set it aside and keep it warm.

Prepare the Vegetables: Julienne or thinly slice 1 carrot, 1 zucchini, and 4-5 shiitake mushrooms (or other mushrooms of choice). Blanch the carrot and zucchini in boiling water for 1-2 minutes, then drain. Sauté the mushrooms in a pan with 1 tablespoon sesame oil until tender. Season each vegetable with a pinch of salt and set aside.

Prepare the Protein: Cook 1/2 lb ground beef (or use chicken, tofu, or a fried egg for a vegetarian version) in a skillet over medium heat until browned. Season with 1 tablespoon soy sauce, 1 teaspoon sugar, 1 teaspoon sesame oil, 1 garlic clove minced, and a pinch of black pepper. Set aside.

Prepare the Gochujang Sauce: In a small bowl, mix 2 tablespoons gochujang (Korean chili paste), 1 tablespoon sesame oil, 1 tablespoon sugar, 1 tablespoon rice vinegar, and 1 teaspoon sesame seeds. Stir until well combined.

Assemble the Bibimbap: In a large bowl, place a serving of rice at the bottom. Arrange the cooked vegetables and protein (such as beef or fried egg) on top of the rice, making sections for each. Add a spoonful of gochujang sauce in the center.

Serve: Serve the bibimbap with a drizzle of additional sesame oil and garnish with a sprinkle of sesame seeds. Mix everything together just before eating for a flavorful and balanced meal!"
9,bread_pudding,"stale bread,milk,heavy cream,sugar,eggs,vanilla extract,ground cinnamon,salt,butter,raisins,chocolate chips","Prepare the Bread: Preheat your oven to 350°F (175°C). Cut 4 cups of stale bread (such as challah, brioche, or French bread) into cubes and place them in a greased 9x9-inch baking dish.

Prepare the Custard: In a bowl, whisk together 2 cups whole milk, 1/2 cup heavy cream, 3/4 cup granulated sugar, 3 large eggs, 1 teaspoon vanilla extract, and a pinch of salt until smooth. Optionally, add 1/2 teaspoon ground cinnamon or nutmeg for extra flavor.

Assemble the Pudding: Pour the custard mixture evenly over the bread cubes, pressing the bread down gently with a spoon to help it soak up the liquid. Let it sit for 10-15 minutes to allow the bread to fully absorb the custard.

Bake the Pudding: Place the baking dish in the preheated oven and bake for 45-50 minutes, or until the top is golden brown and the custard is set. You can check for doneness by inserting a knife into the center; it should come out clean.

Prepare the Sauce (optional): While the bread pudding bakes, prepare a simple caramel sauce by combining 1/2 cup brown sugar, 1/4 cup butter, and 1/4 cup heavy cream in a saucepan. Heat over medium heat, stirring until the sugar dissolves and the sauce thickens slightly.

Serve: Remove the bread pudding from the oven and let it cool for a few minutes before serving. Drizzle with the caramel sauce or serve with whipped cream or vanilla ice cream. Enjoy!"
10,breakfast_burrito,"flour,eggs,sausage,cheddar cheese,bell pepper,onion,hash browns,potato,sour cream,salsa,salt and pepper","Prepare the Eggs: In a bowl, whisk 4 large eggs with a pinch of salt and pepper. Heat 1 tablespoon of olive oil or butter in a skillet over medium heat. Pour in the eggs and cook, stirring gently, until scrambled and fully cooked. Set aside.

Prepare the Filling: In the same skillet, sauté 1/2 cup diced onions, 1/2 cup diced bell peppers, and 1/2 cup cooked breakfast sausage or bacon (optional) for 3-4 minutes until softened. Add 1/2 cup cooked potatoes or hashbrowns (optional) and stir to combine. Season with salt, pepper, and a pinch of cumin or chili powder for extra flavor.

Warm the Tortillas: Heat 4 flour tortillas in a dry skillet over medium heat for 30 seconds on each side, or microwave them for about 20 seconds, until warm and soft.

Assemble the Burritos: Lay the warmed tortillas flat on a clean surface. Add a scoop of the scrambled eggs in the center of each tortilla. Top with the sautéed vegetable mixture, a handful of shredded cheese (cheddar, Monterey Jack, or your favorite), and any additional fillings like avocado slices, salsa, or sour cream.

Fold and Roll: Fold in the sides of the tortilla, then roll it up tightly to enclose the filling.

Serve: Serve the breakfast burritos immediately with extra salsa, hot sauce, or guacamole on the side. Enjoy a filling and delicious breakfast!"
